騎手名,調教師名,出走回数,1着,2着,3着,勝率,複勝率
山本聡哉,新井清重,11,3,3,2,27.30%,72.7%
櫻井光輔,甲田悟史,14,3,3,1,21.40%,50.0%
杉山海波,井上弘之,24,3,3,1,12.50%,29.2%
西啓太,加藤誠一,22,3,3,1,13.60%,31.8%
張田昂,村田六郎,10,3,3,1,30.00%,70.0%
吉原寛人,藤田輝信,12,3,3,1,25.00%,58.3%
和田譲治,赤嶺本浩,27,3,3,1,11.10%,25.9%
加藤雄真,山崎裕也,26,3,3,0,11.50%,23.1%
本田正重,佐宗応和,18,3,3,0,16.70%,33.3%
菅原涼太,長谷川忍,60,3,2,6,5.00%,18.3%
藤田凌,佐野謙二,48,3,2,6,6.30%,22.9%
御神本訓史,荒山勝徳,16,3,2,5,18.80%,62.5%
岡村健司,佐藤裕太,25,3,2,4,12.00%,36.0%
安藤洋一,渡邉和雄,26,3,2,3,11.50%,30.8%
谷内貫太,月岡健二,22,3,2,3,13.60%,36.4%
仲野光馬,渋谷信博,42,3,2,3,7.10%,19.0%
矢野貴之,立花伸,16,3,2,3,18.80%,50.0%
安藤洋一,佐宗応和,32,3,2,2,9.40%,21.9%
谷内貫太,市村誠,66,3,2,2,4.50%,10.6%
中山遥人,佐宗応和,25,3,2,2,12.00%,28.0%
西啓太,鷹見浩,17,3,2,2,17.60%,41.2%
野畑凌,米田英世,21,3,2,2,14.30%,33.3%
張田昂,川島正一,18,3,2,2,16.70%,38.9%
藤本現暉,荒山勝徳,9,3,2,2,33.30%,77.8%
山崎誠士,新井清重,18,3,2,2,16.70%,38.9%
岡村裕基,山田正実,52,3,2,1,5.80%,11.5%
杉山海波,村上頼章,28,3,2,1,10.70%,21.4%
張田昂,稲益貴弘,16,3,2,1,18.80%,37.5%
張田昂,長谷川剛史,11,3,2,1,27.30%,54.5%
藤江渉,八木正喜,30,3,2,1,10.00%,20.0%
本橋孝太,米谷康秀,11,3,2,1,27.30%,54.5%
山中悠希,渡邊貴光,19,3,2,1,15.80%,31.6%
和田譲治,荒山勝徳,13,3,2,1,23.10%,46.2%
石川駿介,高橋清顕,23,3,2,0,13.00%,21.7%
笹川翼,山中尊徳,11,3,2,0,27.30%,45.5%
篠谷葵,川島正一,13,3,2,0,23.10%,38.5%
鷹見陸,上杉昌宏,39,3,2,0,7.70%,12.8%
野畑凌,平田正一,17,3,2,0,17.60%,29.4%
本田正重,村上頼章,5,3,2,0,60.00%,100.0%
藤田凌,堀千亜樹,37,3,1,10,8.10%,37.8%
野澤憲彦,齊藤敏,47,3,1,8,6.40%,25.5%
町田直希,古澤悟,37,3,1,6,8.10%,27.0%
山林堂信彦,小野寺晋廣,70,3,1,4,4.30%,11.4%
吉井章,中道啓二,31,3,1,4,9.70%,25.8%
所蛍,林幻,32,3,1,3,9.40%,21.9%
新原周馬,山崎尋美,27,3,1,3,11.10%,25.9%
町田直希,山崎尋美,15,3,1,3,20.00%,46.7%
笹川翼,佐々木仁,14,3,1,2,21.40%,42.9%
